Intensity (mm/h),Slope angle (deg),,,log(int),area,log(fail),fail,lat,long(west),Region,long,pred
6.666666667,29,,1,0.823908741,750,3.3481739,2229.327637,40.81,124.17,Eureka,-124.17,2.7655
8.541666667,29,,1,0.931542619,750,3.2578049,1810.526559,40.59,122.39,Redding,-122.39,2.675
5.833333333,29,,1,0.765916794,750,3.3968635,2493.810792,38.57,121.49,Sacramento,-121.49,2.813
5.958333333,29,,1,0.775124796,750,3.3891327,2449.811675,37.78,122.42,San Francisco,-122.42,2.806
4.375,29,,1,0.640978057,750,3.501762,3175.133572,37.34,121.89,San Jose,-121.89,2.918
3.541666667,29,,1,0.549207684,750,3.578812,3791.508204,36.74,119.78,Fresno,-119.78,2.994
5,29,,1,0.698970004,750,3.453072,2838.389555,36.59,121.9,Monterey,-121.9,2.869
8.333333333,29,,1,0.920818754,750,3.2668085,1848.453373,34.42,119.7,Santa Barbara,-119.7,2.685
7.625,29,,1,0.882239848,750,3.2991996,1991.588455,34.28,119.22,Ventura,-119.22,2.717
7.5,29,,1,0.875061263,750,3.3052266,2019.419753,34.04,118.22,Los Angeles,-118.22,2.723
5,29,,1,0.698970004,750,3.453072,2838.389555,33.95,117.39,Riverside,-117.39,2.869
5.625,29,,1,0.750122527,750,3.4101248,2571.134525,33.84,116.53,Palm Springs,-116.53,2.827
6,29,,1,0.77815125,750,3.3865917,2435.519999,33.67,117.79,Irvine,-117.79,2.804
7.916666667,29,,1,0.898542359,750,3.285512,1929.798658,33.49,117.15,Temecula,-117.15,2.703
5.833333333,29,,1,0.765916794,750,3.3968635,2493.810792,33.12,117.09,Escondido,-117.09,2.814
4.166666667,29,,1,0.619788758,750,3.5195525,3307.900974,32.71,117.16,San Diego,-117.16,2.936
